date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:54	1011/1011	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Nov%202013%2010:18:53%20GMT	http://projecteuler.net/robots.txt		(from )
10:18:54	5581/5581	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:18:53%20GMT	http://projecteuler.net/	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/index.html	(from )
10:18:55	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%22473f76b-57e-4cd87349e0653%22	http://projecteuler.net/favicon.ico	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/favicon.ico	(from http://projecteuler.net/)
10:18:55	6574/6574	---M--	200	added ('OK')	text/css	etag:%22479f073-19ae-4dc7403abb6f7%22	http://projecteuler.net/style_main.css	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/style_main.css	(from http://projecteuler.net/)
10:18:55	1236/1236	---M--	200	added ('OK')	text/css	etag:%22479f075-4d4-4cfbb6902880b%22	http://projecteuler.net/style_light.css	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/style_light.css	(from http://projecteuler.net/)
10:18:56	5581/5581	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:18:55%20GMT	http://projecteuler.net/about	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/about.html	(from http://projecteuler.net/)
10:18:56	5730/5730	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:18:55%20GMT	http://projecteuler.net/register	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/register.html	(from http://projecteuler.net/)
10:18:57	4887/4887	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:18:56%20GMT	http://projecteuler.net/login	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/login.html	(from http://projecteuler.net/)
10:18:58	3229/3229	---M--	200	added ('OK')	application/xml	etag:%224e8dc02-c9d-4eb529f13daaa%22	http://projecteuler.net/rss2_euler.xml	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/rss2_euler.xml	(from http://projecteuler.net/)
10:18:58	1228/1228	---M--	200	added ('OK')	image/png	etag:%2247866d6-4cc-4cd6d85ab4319%22	http://projecteuler.net/images/icon_rss.png	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/images/icon_rss.png	(from http://projecteuler.net/)
10:18:58	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202013%2010:18:58%20GMT	http://projecteuler.net/secure=d3b65	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/secure=d3b65.9.delayed	(from http://projecteuler.net/)
10:18:59	904/904	---M--	200	added ('OK')	image/png	etag:%2247865b3-388-4cd6d85a9a258%22	http://projecteuler.net/images/icon_lock.png	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/images/icon_lock.png	(from http://projecteuler.net/)
10:18:59	3299/3299	---M--	200	added ('OK')	image/png	etag:%2247866d9-ce3-4cd6d85b42800%22	http://projecteuler.net/images/pe_banner_light.png	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/images/pe_banner_light.png	(from http://projecteuler.net/)
10:19:00	19908/19908	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:18:56%20GMT	http://projecteuler.net/problems	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems.html	(from http://projecteuler.net/)
10:19:01	5486/5486	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:19:00%20GMT	http://projecteuler.net/copyright	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/copyright.html	(from http://projecteuler.net/)
